"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1940-02-01T06:00:00.000Z","12.05","12.37","12.04","12.13","0.66","0.04","0"
"1940-03-01T06:00:00.000Z","12.06","12.27","12.00","12.18","0.41","-0.21","0"
"1940-04-01T06:00:00.000Z","12.21","12.59","12.04","12.19","0.08","-0.54","0"
"1940-05-01T05:00:00.000Z","12.03","12.12","9.14","9.27","-23.95","-24.58","0"
"1940-06-03T05:00:00.000Z","9.11","10.10","8.99","9.98","7.66","7.04","0"
"1940-07-01T05:00:00.000Z","9.87","10.33","9.85","10.29","3.11","2.48","0"
"1940-08-01T05:00:00.000Z","10.26","10.50","9.84","10.50","2.04","1.42","0"
"1940-09-03T05:00:00.000Z","10.56","10.93","10.30","10.66","1.52","0.90","0"
"1940-10-01T06:00:00.000Z","10.81","11.08","10.47","11.08","3.94","3.32","0"
"1940-11-01T06:00:00.000Z","11.08","11.39","10.56","10.57","-4.60","-5.23","0"
"1940-12-02T06:00:00.000Z","10.62","10.69","10.38","10.58","0.09","-0.53","0"
"1941-01-02T06:00:00.000Z","10.48","10.86","10.04","10.07","-4.82","-5.44","0"
"1941-02-03T06:00:00.000Z","9.96","10.19","9.53","9.92","-1.49","-2.11","0"
"1941-03-03T06:00:00.000Z","9.77","10.10","9.76","9.96","0.40","-0.22","0"
"1941-04-01T06:00:00.000Z","9.97","10.16","9.31","9.31","-6.53","-7.15","0"
"1941-05-01T05:00:00.000Z","9.30","9.56","9.30","9.38","0.75","0.13","0"
"1941-06-02T05:00:00.000Z","9.36","9.95","9.36","9.85","5.01","4.39","0"
"1941-07-01T05:00:00.000Z","9.82","10.47","9.82","10.39","5.48","4.86","0"
"1941-08-01T05:00:00.000Z","10.34","10.36","10.03","10.28","-1.06","-1.68","0"
"1941-09-02T05:00:00.000Z","10.34","10.47","10.09","10.20","-0.78","-1.40","0"
"1941-10-01T06:00:00.000Z","10.17","10.17","9.50","9.50","-6.86","-7.49","0"
"1941-11-03T06:00:00.000Z","9.59","9.66","9.12","9.12","-4.00","-4.62","0"
"1941-12-01T06:00:00.000Z","9.07","9.38","8.37","8.69","-4.71","-5.34","0"
"1942-01-02T06:00:00.000Z","8.89","9.09","8.81","8.85","1.84","1.22","0"
"1942-02-02T06:00:00.000Z","8.84","8.97","8.46","8.59","-2.94","-3.56","0"
"1942-03-02T05:00:00.000Z","8.47","8.60","7.98","8.01","-6.75","-7.37","0"
"1942-04-01T05:00:00.000Z","8.05","8.20","7.47","7.66","-4.37","-4.99","0"
"1942-05-01T05:00:00.000Z","7.71","8.18","7.71","8.15","6.40","5.77","0"
"1942-06-01T05:00:00.000Z","8.19","8.53","8.18","8.30","1.84","1.22","0"
"1942-07-01T05:00:00.000Z","8.23","8.83","8.23","8.56","3.13","2.51","0"
"1942-08-03T05:00:00.000Z","8.57","8.73","8.46","8.62","0.70","0.08","0"
"1942-09-01T05:00:00.000Z","8.62","8.90","8.54","8.85","2.67","2.05","0"
"1942-10-01T05:00:00.000Z","8.92","9.48","8.92","9.36","5.76","5.14","0"
"1942-11-02T05:00:00.000Z","9.48","9.69","9.29","9.29","-0.75","-1.37","0"
"1942-12-01T05:00:00.000Z","9.28","9.77","9.28","9.77","5.17","4.54","0"
"1943-01-04T05:00:00.000Z","9.92","10.44","9.89","10.44","6.86","6.23","0"
"1943-02-01T05:00:00.000Z","10.52","10.97","10.43","10.97","5.08","4.45","0"
"1943-03-01T05:00:00.000Z","10.92","11.59","10.84","11.58","5.56","4.94","0"
"1943-04-01T05:00:00.000Z","11.59","11.76","11.14","11.59","0.09","-0.54","0"
"1943-05-03T05:00:00.000Z","11.82","12.05","11.70","12.05","3.97","3.35","0"
"1943-06-01T05:00:00.000Z","12.18","12.35","11.88","12.35","2.49","1.87","0"
"1943-07-01T05:00:00.000Z","12.36","12.64","11.85","11.85","-4.05","-4.67","0"
"1943-08-02T05:00:00.000Z","11.47","11.92","11.47","11.80","-0.42","-1.04","0"
"1943-09-01T05:00:00.000Z","11.84","12.24","11.78","12.08","2.37","1.75","0"
"1943-10-01T05:00:00.000Z","12.09","12.09","11.67","11.91","-1.41","-2.03","0"
"1943-11-01T05:00:00.000Z","11.92","11.92","10.99","11.02","-7.47","-8.10","0"
"1943-12-01T05:00:00.000Z","11.13","11.69","11.13","11.67","5.90","5.28","0"
"1944-01-03T05:00:00.000Z","11.66","11.94","11.66","11.85","1.54","0.92","0"
"1944-02-01T05:00:00.000Z","11.83","11.89","11.56","11.82","-0.25","-0.88","0"
"1944-03-01T05:00:00.000Z","11.87","12.31","11.87","12.02","1.69","1.07","0"
"1944-04-03T05:00:00.000Z","11.96","12.06","11.67","11.87","-1.25","-1.87","0"
"1944-05-01T05:00:00.000Z","11.96","12.35","11.95","12.35","4.04","3.42","0"
"1944-06-01T05:00:00.000Z","12.31","13.02","12.23","12.98","5.10","4.48","0"
"1944-07-03T05:00:00.000Z","13.11","13.27","12.70","12.71","-2.08","-2.70","0"
"1944-08-01T05:00:00.000Z","12.78","13.04","12.61","12.82","0.87","0.24","0"
"1944-09-01T05:00:00.000Z","12.86","12.86","12.35","12.74","-0.62","-1.25","0"
"1944-10-02T05:00:00.000Z","12.80","13.07","12.73","12.78","0.31","-0.31","0"
"1944-11-01T05:00:00.000Z","12.83","12.98","12.67","12.83","0.39","-0.23","0"
"1944-12-01T05:00:00.000Z","12.80","13.28","12.80","13.28","3.51","2.88","0"
"1945-01-02T05:00:00.000Z","13.33","13.69","13.21","13.47","1.43","0.81","0"
"1945-02-01T05:00:00.000Z","13.50","14.30","13.50","14.30","6.16","5.54","0"
"1945-03-01T05:00:00.000Z","14.32","14.38","13.39","13.61","-4.83","-5.45","0"
"1945-04-02T05:00:00.000Z","13.77","14.84","13.67","14.84","9.04","8.41","0"
"1945-05-01T05:00:00.000Z","14.79","15.11","14.62","15.01","1.15","0.52","0"
"1945-06-01T05:00:00.000Z","15.03","15.37","14.87","14.87","-0.93","-1.56","0"
"1945-07-02T05:00:00.000Z","15.03","15.10","14.38","14.66","-1.41","-2.04","0"
"1945-08-01T05:00:00.000Z","14.68","15.51","14.40","15.51","5.80","5.18","0"
"1945-09-04T05:00:00.000Z","15.51","16.05","15.51","16.05","3.48","2.86","0"
"1945-10-01T06:00:00.000Z","16.33","16.72","16.30","16.65","3.74","3.12","0"
"1945-11-01T06:00:00.000Z","16.87","17.27","16.85","17.19","3.24","2.62","0"
"1945-12-03T06:00:00.000Z","17.44","17.68","16.94","17.36","0.99","0.37","0"
"1946-01-02T06:00:00.000Z","17.25","18.67","17.23","18.57","6.97","6.35","0"
"1946-02-01T06:00:00.000Z","18.64","18.70","16.81","17.28","-6.95","-7.57","0"
"1946-03-01T06:00:00.000Z","17.21","18.07","17.09","18.04","4.40","3.78","0"
"1946-04-01T06:00:00.000Z","18.06","18.90","18.06","18.76","3.99","3.37","0"
"1946-05-01T05:00:00.000Z","18.71","19.25","18.26","19.18","2.24","1.62","0"
"1946-06-03T05:00:00.000Z","19.05","19.05","18.03","18.43","-3.91","-4.53","0"
"1946-07-01T05:00:00.000Z","18.54","18.54","17.39","17.96","-2.55","-3.17","0"
"1946-08-01T05:00:00.000Z","18.01","18.23","16.65","16.65","-7.29","-7.92","0"
"1946-09-03T05:00:00.000Z","15.00","15.99","14.33","14.96","-10.15","-10.77","0"
"1946-10-01T06:00:00.000Z","14.92","15.30","14.12","14.84","-0.80","-1.42","0"
"1946-11-01T06:00:00.000Z","15.07","15.33","14.13","14.68","-1.08","-1.70","0"
"1946-12-02T06:00:00.000Z","14.44","15.50","14.44","15.30","4.22","3.60","0"
"1947-01-02T06:00:00.000Z","15.20","15.66","14.77","15.66","2.35","1.73","0"
"1947-02-03T06:00:00.000Z","15.80","16.14","15.30","15.43","-1.47","-2.09","0"
"1947-03-03T06:00:00.000Z","15.41","15.65","14.78","15.17","-1.69","-2.31","0"
"1947-04-01T06:00:00.000Z","15.23","15.23","14.09","14.58","-3.89","-4.51","0"
"1947-05-01T05:00:00.000Z","14.69","14.85","13.77","14.45","-0.89","-1.51","0"
